timestamp,freq_mhz,perf_pct,usage_pct,temp_c
2026-02-25 07:45:32,2500,147.8,22.8,-1
2026-02-25 07:45:35,2500,153.3,34.8,91
2026-02-25 07:45:40,2500,150.6,54.8,-1
2026-02-25 07:45:43,2500,160.1,42.1,100
2026-02-25 07:45:48,2500,154.9,59.3,-1
2026-02-25 07:45:52,2500,155.2,24.4,98
2026-02-25 07:45:57,2500,151.5,56.4,-1
2026-02-25 07:46:00,2500,153.6,40,100
2026-02-25 07:46:05,2500,151.8,24,-1
2026-02-25 07:46:08,2500,155.2,24.9,100
2026-02-25 07:46:14,2500,150.7,25.5,-1
2026-02-25 07:46:16,2500,160.6,20.9,96
2026-02-25 07:46:22,2500,155.1,38.2,-1
2026-02-25 07:46:25,2500,145.9,85.2,98
2026-02-25 07:46:30,2500,146.1,58,-1
2026-02-25 07:46:33,2500,166,43,94
2026-02-25 07:46:38,2500,169.1,7,-1
2026-02-25 07:46:41,2500,158.3,13.1,82
2026-02-25 07:46:47,2500,160.8,30.7,-1
2026-02-25 07:46:49,2500,168,11.1,97
2026-02-25 07:46:55,2500,157.4,22.4,-1
2026-02-25 07:46:57,2500,169.4,10.4,81
2026-02-25 07:47:03,2500,170,9.2,-1
2026-02-25 07:47:06,2500,173.5,18,94
2026-02-25 07:47:11,2500,152.6,25,-1
2026-02-25 07:47:14,2500,148.5,22,97
2026-02-25 07:47:20,2500,150.6,18.5,-1
2026-02-25 07:47:22,2500,155.9,32.6,97
2026-02-25 07:47:28,2500,157.5,28.8,-1
2026-02-25 07:47:30,2500,152.5,18,97
2026-02-25 07:47:36,2500,146.5,100,-1
2026-02-25 07:47:39,2500,149,100,83
2026-02-25 07:47:45,2500,146.2,99.8,-1
2026-02-25 07:47:47,2500,145.3,98.9,83
2026-02-25 07:47:53,2500,148.7,98.8,-1
2026-02-25 07:47:55,2500,143.5,97.7,91
2026-02-25 07:48:02,2500,146.1,95.7,-1
2026-02-25 07:48:04,2500,144.6,95.3,96
2026-02-25 07:48:10,2500,148.3,89.6,-1
2026-02-25 07:48:12,2500,143.4,93.2,93
2026-02-25 07:48:18,2500,143.1,82.6,-1
2026-02-25 07:48:20,2500,143.4,99.4,96
2026-02-25 07:48:27,2500,143.8,100,-1
